,txt_id,text,tags
10,20130403ptu,"В Чите в доме преподавателя техникума изъяли миллион рублей наличными и оружие . Об этом 3 апреля сообщается на сайте МВД РФ . Обыск в доме 63-летнего преподавателя провели в связи с тем , что его заподозрили во взятке . Читинская ГТРК уточняет , что преподаватель предположительно вымогал деньги у студентов . Полицейские не ожидали обнаружить в шкафах и чемоданах большое количество денег , а также автомат Калашникова , шесть пистолетов ( в том числе два кустарного производства ) и семь боевых гранат . Все оружие направлено на экспертизу . Решается вопрос о возбуждении нового уголовного дела . ",O LOC O O OFF OFF O O O O O O O O O DAT DAT O O O O O O O O O O OFF O O O O O O O O O O CRI O O O O O O OFF O CRI O O SUF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
11,20170101attack,"В Стамбуле совершено нападение на ночной клуб , передает Reuters . Материалы по теме11:05 1 января 2017Санта убивающийЧто на данный момент известно о теракте в СтамбулеИнцидент произошел в округе Отракёй . По предварительным данным , в атаке участвовали двое преступников . Как сообщает РИА Новости со ссылкой на эфир местного телевидения , злоумышленники , одетые в костюмы Санта-Клаусов , открыли стрельбу . Множество человек получили ранения . По оценке правоохранительных органов , их число может достигать трех десятков . К месту происшествия направлены усиленные отряды полиции и кареты скорой медицинской помощи . ",O LOC O CRI O O O O O O O O O DAT DAT DAT O O O O O O O O LOC O O O LOC LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O CRI CRI O OFF OFF O O O O O O O O O O O O O O O O O O O O O O O O O O O 
12,20140608bomb,"В Сергокалинском районе Дагестана взрывотехники обезвредили бомбу , обнаруженную местными жителями . Об этом сообщает ИТАР-ТАСС . Бомба была найдена в лесном массиве в трех километрах от села Аялизимахи . « Недалеко от проселочной дороги местные жители обнаружили подозрительные провода и вызвали силовиков . Прибывшие специалисты установили , что в землю закопано взрывное устройство , дистанционного управления , собранное на основе ресивера ( металлического воздушного баллона ) от КАМАЗа » , — рассказали в оперативном штабе республики . Мощность взрывного устройства составила около восьми килограммов в тротиловом эквиваленте . ",O LOC LOC LOC O O O O O O O O O O O O O O O O O O O O O O O LOC LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
13,20130603prava,"В Кемерово задержан директор одной из городских автошкол , пользовавшийся поддельными правами . Об этом 3 июня сообщается на сайте МВД РФ . Машина директора автошколы была остановлена для проверки на улице Баумана . Полицейские , воспользовавшись специальным прибором , определили , что права водителя являются фальшивыми . Установлено , что примерно полгода назад директора автошколы лишили прав за управление автомобилем в нетрезвом виде . Поддельное удостоверение , по словам задержанного , он приобрел через интернет . Задержанного поместили под административный арест на семь суток . Решается вопрос о возбуждении уголовного дела . ",O LOC O OFF O O O OFF O O O O O O O DAT DAT O O O O O O O OFF OFF O O O O O LOC LOC O O O O O O O O O O O O O O O O O O O O O OFF OFF O O O CRI CRI CRI CRI CRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
14,20140208metro,"Пакет с деньгами на сумму почти четыре миллиона рублей украли у женщины в московском метрополитене , сообщает в субботу РИА Новости со ссылкой на пресс-службу столичной полиции . Пострадавшая является приезжей из Липецка . Как она сама заявила правоохранительным органам , днем в пятницу она ехала от станции « Тимирязевская » до станции « Сокольники » . В ходе поездки в вагоне электропоезда на нее напал неизвестный и похитил из сумки прозрачный полиэтиленовый пакет . В нем находились денежные средства на сумму 3 , 9 миллиона рублей . С какой целью женщина перевозила крупную сумму , не сообщается . Полиция приступила к розыску преступника . ",O O O O O O O O O CRI O SUF O LOC LOC O O O DAT O O O O O O O O O O O O O O O O O O O O O O DAT O DAT O O O O O LOC O O O O LOC O O O O O O O O O O CRI OFF O CRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
15,20130206bank,"Грабители вынесли банкомат одного из коммерческих банков из кафе быстрого питания Subway , расположенного на юго-востоке Москвы по адресу: Новочеркасский бульвар , дом 54 , корпус 1 . Как сообщает « Интерфакс » со ссылкой на источник в правоохранительных органах , ограбление было совершено около 2:00 в ночь на среду , 6 февраля . По данным собеседника агентства , грабители — трое молодых людей .  « Прямо на глазах у посетителей они выломали банкомат из креплений , вынесли его на улицу , погрузили в автомобиль и скрылись . В банкомате находилось несколько миллионов рублей » , — рассказал источник . Для поимки преступников в столице объявлен план « Перехват » . ",OFF CRI CRI O O O O O O O O LOC O O O LOC LOC O O LOC LOC O LOC LOC O LOC LOC O O O O O O O O O O O O O O CRI O O O DAT O O O DAT O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
16,20130208shot,"В ресторане , расположенном в центре Москвы , в ночь на пятницу , 8 февраля , произошла драка со стрельбой . Как сообщает РИА Новости со ссылкой на ГУ МВД РФ по столице , в результате один человек получил огнестрельные ранения . « Ночью в 01 . 15 в ресторане « Олива » , расположенном в доме 3/5 по Смоленскому бульвару , между двумя группами граждан произошел конфликт , в ходе которого было применено огнестрельное оружие » , - рассказали в пресс-службе . Всем участникам драки удалось скрыться до появления полиции . Позднее стало известно , что в больницу поступил мужчина со сквозными ранениями левого и правого бедра . По факту произошедшего проводится проверка . ",O LOC O O O LOC LOC O O DAT O DAT O DAT DAT O O CRI O CRI O O O O O O O O O O O O O O O O O O O O O O O DAT O DAT O DAT O LOC O LOC O O O O LOC LOC O LOC LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
17,20141203defilement,"В польском Белостоке осквернили могилы солдат Красной армии , сообщает ТАСС со ссылкой на пресс-секретаря местной полиции Анджея Барановского . По его словам , вандалы вырвали из земли 26 надгробных плит с Красной звездой . Заявление поступило в полицию 2 декабря . В полиции не уточняют , когда произошел этот акт вандализма и кто обратился в полицию . Городские власти временно перевезли памятные плиты на городское кладбище , пообещав вернуть их обратно , когда улучшатся погодные условия . Военное кладбище в Белостоке было основано в 1944 году . На нем похоронены красноармейцы , освобождавшие Польшу . В ходе этой операции погибли около 600 тысяч солдат Красной армии . ",O LOC LOC CRI SUF O O O O O O O O O O O O O O O O O O O OFF O O O O O O O O O O O O O O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O LOC O O O O O O O O O O O O O O O O O O O O O O O O O O
18,20130603pedagog,"В Пермском крае в отношении учителя начальных классов возбуждено уголовное дело о насильственных действиях сексуального характера в отношении малолетних . Об этом 3 июня сообщается на сайте Следственного комитета РФ . Имя подозреваемого не называется , сообщается лишь , что ему 53 года . Также не раскрывается номер школы , в которой он работал , и название населенного пункта , в котором она расположена . Однако подчеркивается , что педагог уже уволен . По версии следствия , мужчина совершал преступления с 2009 года по апрель 2013 года . От его действий пострадали пять девочек в возрасте от девяти до 12 лет . Суд избрал для подозреваемого меру пресечения в виде заключения под стражу . ",O LOC LOC O O OFF OFF OFF O O O O CRI CRI CRI CRI O CRI CRI O O O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O DAT DAT O DAT DAT DAT O O O O O SUF SUF O O O O O O O O O O O O O O O O O O O O O
19,20130603hmao,"В ходе массовой драки в городе Нижневартовск Ханты-Мансийского автономного округа погиб один человек . Об этом 3 июня сообщает агентство « Интерфакс » . Драка произошла в подъезде жилого дома , где поссорились две компании молодых людей . Один из участников конфликта открыл стрельбу из травматического пистолета и ранил нескольких противников . В ответ другой участник драки ударил стрелка ножом . Раненый скончался на месте . Возбуждено дело по 108-й статье УК РФ ( убийство , совершённое при превышении пределов необходимой обороны ) . 21-летний подозреваемый задержан . Мотив конфликта пока неизвестен . Сообщается лишь , что все участники драки находились в состоянии алкогольного опьянения . ",O O CRI CRI O LOC LOC LOC LOC LOC O SUF SUF O O O DAT DAT O O O O O O CRI O O O O O O O O O O O O O O O O CRI CRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O CRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
20,20131206post,"Трое преступников , вооруженных двумя пистолетами и предметом , похожим на бензопилу , ограбили в Москве отделение « Почты России » . Об этом 6 декабря сообщает РИА Новости . Преступники ворвались в почтовое отделение в доме 44 по улице Корнейчука в 10:35 6 декабря . До приезда полиции им удалось скрыться , покинув отделение через окно . Официально ГУ МВД Москвы объявило , что похищена « крупная сумма » . Анонимный источник в правоохранительных органах сказал журналистам , что добычей преступников стали 22 тысячи рублей . Наконец , на почте сообщили , что преступникам не удалось похитить ничего . По словам сотрудников , преступники пытались вскрыть дверь в служебное помещение , но не смогли . ",O O O O O O O O O O O O O CRI O LOC O O SUF SUF O O O O DAT DAT O O O O O O O O O O LOC LOC O LOC LOC O O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
21,20140306key,"В Москве ограбление банка сорвалось из-за того , что преступники сломали ключ в замочной скважине . Об этом 6 марта сообщает агентство « Интерфакс » со ссылкой на пресс-службу городской полиции . Двое грабителей в масках ворвались в банк на Люсиновской улице около 20 часов 5 марта . Угрожая операционисткам предметом , похожим на пистолет , они отобрали у них ключи от кассы . Материалы по теме17:04 13 февраля 2014Силовое возвращение кредита Кто и как грабит банки в РоссииЗаперев сотрудниц в туалете , преступники попытались открыть кассу , однако сломали ключ . После этого им пришлось скрыться без добычи . Возбуждено уголовное дело по 162-й статье УК РФ ( разбой ) . Полиция ведет розыск нападавших . ",O LOC CRI CRI O O O O O O O O O O O O O O DAT DAT O O O O O O O O O O O O OFF OFF O O O O O O LOC LOC O O O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
22,20160601univer,"В Калифорнийском университете в Лос-Анджелесе неизвестный стрелок убил по меньшей мере двух человек . Об этом сообщает Reuters со ссылкой на полицию и местную администрацию . Материалы по теме06:04 20 апреля 2015Право на выстрелЗачем американцам столько оружияИнцидент произошел в среду , 1 июня . Подробностей происшествия нет . Данные о количестве стрелявших и их личностях также отсутствуют . Полиция принимает меры к задержанию преступников . В университетском кампусе введены повышенные меры безопасности , городок блокирован сотрудниками силовых структур , передвижение по территории ограничено . Университет находится в районе Вествуд Лос-Анджелеса . В заведении обучаются более 43 тысяч студентов . ",O LOC LOC O LOC OFF OFF CRI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O LOC LOC O O O O O O O O O
23,20140306primorie,"В Уссурийске возбуждено уголовное дело по факту незаконного использования труда воспитанников интерната для трудных подростков . Об этом 6 марта сообщается на сайте прокуратуры Приморского края . По версии следствия , сотрудники учебного заведения « Приморская специальная общеобразовательная школа закрытого типа им . Т . М . Тихого » 5-7 декабря 2013 года отстранили девятерых подростков от учебы и направили их на строительство , осуществляемое ЗАО « Уссурийский комбинат промышленных предприятий » . Дело возбуждено по 286-й статье УК РФ ( превышение должностных полномочий ) . Фигурантов в нем пока не появилось: следователи не выяснили , кто именно из сотрудников отдал распоряжение об использовании труда подростков . ",O LOC O O O O O CRI CRI CRI SUF SUF O O O O O O DAT DAT O O O O O O O O O O O O O O O OFF OFF OFF OFF OFF OFF OFF O O O O O OFF O DAT DAT DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
24,20140806jail,"В Петербурге передано в суд дело бывшего инспектора УФСИН , обвиняемого во взяточничестве и злоупотреблении должностными полномочиями , сообщает Фонтанка . Обвиняемый нес службу в петербургской тюремной больнице имени Гааза . По версии следствия , в июне 2012 года он получил от осужденного , проходящего лечение , телефонные карточки на 2000 рублей . В обмен на телефонные карточки , сотрудник ФСИН должен был передать осужденному MP3-плеер . В уголовном деле содержится описание еще шести подобных эпизодов . Обвиняемого будут судить по статьям УК РФ 285 — « злоупотребление должностными полномочиями » и 290 — « получение взятки » . Диапазон возможных наказаний простирается от штрафа до лишения свободы на срок до семи лет . ",O LOC O O O O O OFF OFF O O O CRI O CRI CRI CRI O O O O O O O O O O O O O O O O O O O DAT DAT DAT O O O O O O O O O O O O O O O O O O O O OFF OFF O O O O O O O O O O O O O O O O O O O O O O O O O O CRI CRI CRI O O O O O CRI CRI O O O O O O O O O O O O O O O O O
25,20140203sevenweek,"В городе Олдем в Великобритании 24-летнюю Катажину Гацек ( Katarzyna Gacek ) обвинили в убийстве собственного грудного ребенка . Об этом 3 февраля со ссылкой на данные полиции сообщает BBC News . Кроме того Гацек , а также еще двух мужчин 35 и 26 лет , обвинили в пренебрежении заботой о ребенке . Все они были арестованы . По сведениям The Daily Mail , один из задержанных мужчин был сожителем Гацек , но не отцом ее ребенка . Другой арестованный был их квартиросъемщиком . Мальчика , которому было всего семь недель , госпитализировали 26 января с тяжелой черепно-мозговой травмой . На следующий день ребенок скончался . Результаты вскрытия показали , что травмы мальчик , скорее всего , получил не в результате несчастного случая . ",O O LOC O LOC O OFF OFF O OFF OFF O O O CRI SUF SUF SUF O O O DAT DAT O O O O O O O O O O O OFF O O O O OFF OFF O O O O O O O CRI CRI O O O O O O O O O O O O O O O O O O O O OFF O O O O O SUF O O O O O O O SUF O O O O O O O O DAT DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
26,20140301train,"В результате нападения группы мужчин , вооруженных ножами , на одной из крупнейших железнодорожных станций на юго-западе Китая погибли 27 человек , не менее 109 были ранены . Об этом сообщает в ночь на 2 марта агентство « Синьхуа » . По данным полиции , нападение произошло 1 марта на железнодорожном вокзале в городе Куньмин , административном центре провинции Юньнань около 21:00 по местному времени ( 17:00 по Москве ) . Участок железной дороги был оцеплен . Местные власти объявили произошедшее террористическим актом . Как сообщил с места событий корреспондент агентства , полиция задержала нескольких подозреваемых . Информации об их личностях и мотивах не поступало . Ответственности за нападение пока никто на себя не взял . ",O O O OFF OFF O O O O O O O O O O O LOC LOC O SUF SUF O O O O O O O O O O O O O DAT DAT O O O O O O O O O O O DAT DAT O O O O O LOC O O O O LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
27,20150803shoot,"По меньшей мере 13 человек пострадали в результате стрельбы на вечеринке в Бруклине , Нью-Йорк . Об этом сообщает телеканал NBC со ссылкой на местную полицию . Инцидент произошел в воскресенье около 02:00 по местному времени ( 09:00 мск ) . Девять человек получили ранения , остальные были госпитализированы с порезами и синяками . Всем пострадавшим — от 19 до 38 лет . Причины стрельбы устанавливаются , преступник пока не задержан . Еще один инцидент со стрельбой произошел около 01:30 в районе Форт-Грин . На месте происшествия было найдено тело 46-летнего мужчины . 25-летний мужчина и 17-летняя девушка получили ранения , они госпитализированы в стабильном состоянии . Преступник также остается на свободе , передает Associated Press . ",O O O SUF SUF O O O CRI O O O LOC O LOC O O O O O O O O O O O O O O O O O O O O O O O O O O SUF SUF O O O O O O O O O O O O O O O O O O O O O O O O OFF O O O O O O O O O O O O O O LOC O O O O O O O SUF SUF O SUF SUF O SUF SUF O O O O O O O O O OFF O O O O O O O O O
28,20140303hash,"В Санкт-Петербурге 3 марта по подозрению в незаконном обороте наркотиков задержан полицейский . Об этом сообщается на сайте ГУ МВД по Санкт-Петербургу . При задержании у полицейского была изъята сумка с несколькими килограммами вещества , похожего на гашиш . Подробности дела , в рамках которого было совершено задержание , не разглашаются . Как говорится в сообщении , полицейский был задержан « в ходе оперативной разработки » . Задержанный является оперуполномоченным группы уголовного розыска 32 отдела полиции Невского района города . После выяснения обстоятельств произошедшего полицейский будет уволен со службы в МВД , а его непосредственных руководителей планируется привлечь к дисциплинарной ответственности , сообщили в полиции . ",O LOC DAT DAT O O O CRI CRI CRI O OFF O O O O O O O O O O O O O O OFF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OFF O O O O O O O O O OFF O O O O O O O O O O O O O O O O OFF O O O O O O O O O O O O O O O O O O O O
29,20140507drugs,"Сотрудники ФСБ изъяли около 150 килограммов героина в ходе двух спецопераций на территории московского региона , сообщило в среду , 7 мая , РИА Новости со ссылкой на Центр общественных связей ведомства . Силовики в ходе оперативно-розыскных мероприятий установили , что в апреле 2014 года наркодельцы планировали получить крупные партии наркотиков из Средней Азии . Скоординированные действия оперативных подразделений ФСБ в апреле позволили задержать двух членов преступной банды и изъять 15 килограммов героина . Позже , в конце апреля , силовики задержали с поличным четверых активных членов другой преступной группы . Из незаконного оборота было изъято 135 килограммов героина . В отношении задержанных лиц возбудили уголовные дела . ",O O O O O O O O O O O O O LOC LOC O O O O O DAT DAT O O O O O O O O O O O O O O O O O O O O DAT DAT DAT OFF CRI CRI CRI CRI CRI O O O O O O O O O O DAT O O O O O O O O O O O O O O O O DAT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
30,20140207ikony,"В московском аэропорту « Шереметьево » изъяли 454 контрабандных иконы из Греции . Об этом 7 февраля сообщает агентство « Новый регион » со ссылкой на пресс-секретаря Шереметьевской таможни Татьяну Соколову . Иконы изъяли у гражданина России 1971 года рождения , который прибыл из Афин с двумя детьми 2000 и 2008 годов рождения . Груз находился как в багаже мужчины , так и в багаже детей . Пассажир заявил , что вез иконы в подарок сослуживцам ко Дню защитника Отечества . Однако таможенники считают , что иконы больше похожи на товарную партию . Изъятые иконы направлены на экспертизу . Минимальное наказание , которое грозит мужчине за контрабанду — штраф от 100 тысяч до 500 тысяч рублей . Максимальное наказание — до двух лет лишения свободы . ",O LOC LOC O LOC O O O CRI CRI O LOC O O O DAT DAT O O O O O O O O O O O O O O O O O O OFF OFF OFF OFF OFF O O O O LOC O O O O O O O O O O O O O O O O O O O O O O OFF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O OFF O CRI O O O O O O O O O O O O O O O O O O O
31,20130607two,"На предприятии , расположенном на севере Москвы , в ночь на пятницу , 7 июня , произошла стрельба , в результате которой ранения получили двое охранников . Об этом утром в пятницу сообщает « Интерфакс » со ссылкой на пресс-службу ГУ МВД РФ по столице . Инцидент произошел на территории домостроительного комбината , расположенного по адресу: улица Вагоноремонтная , дом 10А . По данным полиции , примерно в 02:30 на территорию комбината проникли четверо злоумышленников и « вступили в конфликт с сотрудниками охраны предприятия » . Конфликт перерос в драку , в ходе которой незнакомцы открыли стрельбу из травматического оружия . В результате один охранник был ранен в грудь , а второй — в голову . Возбуждено уголовное дело по статье « Хулиганство » . ",O LOC O O O LOC LOC O O O O O O DAT DAT O O CRI O O O O O O SUF SUF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O LOC LOC O LOC LOC O O O O O O O O O O O O OFF OFF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O CRI O O 
32,20140701fraud,"Главная военная прокуратура сочла необоснованными крупные выплаты компенсаций уволенным сотрудникам « Воентелекома » и возбудила уголовное дело по статье « Мошенничество , совершенное в особо крупном размере » . Соответствующее сообщение опубликовано на сайте ведомства . « Так , в период с ноября 2012 года по март 2013 года злоумышленники "" задним числом "" изменили условия трудовых договоров таким образом , что в случае увольнения ( причем по любой причине ) менеджерам высшего звена выплачивалась денежная компенсация в размере двенадцатикратного среднемесячного заработка » , — говорится в сообщении . В результате более тридцати уволенных работников , с которыми акционерное общество подписало новые трудовые соглашения , получили свыше 25 миллионов рублей . ",O O O O O O CRI CRI O O O OFF O O O O O O O O CRI O O O O O O O O O O O O O O O O O O O O O DAT DAT DAT O DAT DAT DAT OFF O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
33,20140808salikhov,"Утром 8 августа в Махачкале застрелили замначальника городского отдела ГИБДД Тамерлана Салихова . Об этом сообщает « Интерфакс » со ссылкой на собственные источники . В правоохранительных органах республики подтвердили факт убийства полицейского , однако его имя называть не стали . Нападение на полицейского произошло возле его дома на проспекте Акушинского .  « Преступники поджидали его на машине , обстреляли и скрылись . Полицейский скончался на месте . Проводятся необходимые мероприятия по установлению подозреваемых в этом преступлении » , — рассказали в пресс-службе МВД Республики Дагестан . В следственном управлении СКР по Дагестану сообщили о возбуждении уголовного дела по статьям « Посягательство на жизнь полицейского » и « Незаконный оборот оружия » . ",O DAT DAT O LOC CRI O O O O SUF SUF O O O O O O O O O O O O O O O O O O O CRI O O O O O O O O O O O O O O O O O O LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
