textid,textname,full_text
20140906mkad,Более 100 водителей подрались из-за парковки у рынка «Садовод»,"Более 100 водителей, занимающихся частным извозом, стали участниками драки на 14-м километре МКАД. Об этом в субботу, 6 сентября, сообщает ИТАР-ТАСС.Как рассказали в пресс-службе столичной полиции, в результате драки были задержаны почти 40 человек. Кроме того, серьезные ранения получили четыре человека.Источник в правоохранительных органах сообщил, что в драке участвовали представители двух этнических групп — всего более 100 человек. Они занимаются частным извозом на рынках «Садовод» и Птичьем рынке. По предварительным данным, конфликт произошел из-за парковочных мест. В ходе драки применялось холодное и травматическое оружие.Как сообщила «Интерфаксу» пресс-секретарь «Садовода» Надежда Спиридонова, массовая драка произошла между водителями-нелегалами и водителями компании «Желтое такси».Она пояснила, что причиной конфликта стало право работы возле рынка. «Водители-нелегалы, предположительно выходцы из Таджикистана, начали кидать камни в машины ""Желтого такси"". Служба безопасности рынка вмешалась в конфликт и прекратила его», — сказала она.Полиция проводит проверку, решается вопрос о возбуждении уголовного дела.Рынок «Садовод», который находится на МКАД на юго-востоке Москвы, регулярно проверяют в связи с многочисленными нарушениями. Осенью 2013 года полиция и ФМС задержали там более тысячи нелегальных мигрантов.Московские рынки стали объектами усиленных проверок после ряда резонансных инцидентов в 2013 году. Летом на Матвеевском рынке между торговцами и полицейскими произошла драка, в результате которой сотрудник правоохранительных органов получил травмы. Затем на территории овощебазы в столичном Бирюлеве произошли массовые погромы, вызванные убийством местного жителя."
20131204corrupt,В Следственном комитете назвали количество депутатов-взяточников,"Следственный комитет за последние два года привлек к уголовной ответственности за коррупцию 1,6 тысячи депутатов различных уровней . Такие данные, сообщает «Интерфакс», привел глава ведомства Александр Бастрыкин 4 декабря на заседании в Госдуме. О том, скольких депутатов суд признал виновными, председатель СК не уточнил.Следователи также возбудили дела о взяточничестве в отношении 16 судей, 200 следователей из МВД и 42 следователей из СК. Всего же с 2011 года СК завел 57 тысяч уголовных дел по коррупционным преступлениям. До суда удалось довести только 22 тысячи из них, добавил Бастрыкин.По оценкам ведомства, коррупционеры за два года нанесли бюджету России ущерб на сумму девять миллиардов рублей. Из них обвиняемые возместили четыре миллиарда. Еще на такую же сумму правоохранительные органы арестовали имущества.Во время заседания Бастрыкин попросил депутатов Госдумы включить в Уголовный кодекс норму о конфискации имущества взяточников. Без этого вида наказания, по словам главы СК, борьба с коррупцией является «имитацией». Также председатель ведомства попросил увеличить срок расследования коррупционных дел. Он пояснил, что преступники используют все более сложные схемы, для раскрытия которых необходимо много времени.Согласно УК РФ, по делам о коррупции суд может конфисковать имущество только случае, если обвинение докажет, что оно нажито преступным путем. Вместе с тем российские правоохранительные органы уже не первый год говорят о необходимости изменить этот пункт и отнимать имущество, если подсудимый не сможет доказать его законность.Заявление Бастрыкина прозвучало на следующий день после сообщения о создании в администрации президента управления по противодействию коррупции. Его возглавил Олег Плохой, который до этого был начальником управления президента по вопросам государственной службы и кадров. Кроме того, 3 ноября Transparency International опубликовала рейтинг «Индекс восприятия коррупции». Россия в нем заняла 127-е из 177 мест."
20130306axelerat,15-летнего подростка посадили за шесть изнасилований,"Верховный суд Чувашской республики приговорил к семи с половиной годам воспитательной колонии 15-летнего подростка, признанного виновным в серии изнасилований. Об этом 6 марта сообщается на сайте регионального управления СК РФ.Подростка, проживавшего в Янтиковском районе, признали виновным в пяти эпизодах насильственных действий сексуального характера («мужеложство, лесбиянство или иные действия сексуального характера с применением насилия или с угрозой его применения») и одном эпизоде изнасилования.Установлено, что от действий подростка пострадали четыре мальчика в возрасте восьми-девяти лет и одна шестилетняя девочка. Преступления были совершены в июле-декабре 2011 года. Сколько лет на тот момент было подростку (13 или 14), СК не уточняет. Однако, согласно Уголовному кодексу, гражданин может нести ответственность лишь за те преступления, которые совершил после 14 лет.Потерпевшие не рассказывали о преступлениях взрослым, однако обсуждали поведение подростка между собой. Летом 2012 года об этом стало известно директору школы, и он обратился в полицию."
20130807hatskevich,Задержан сообщник Магомеда Билалова,"В Москве 7 августа задержан сообщник Магомеда Билалова, бывший генеральный директор ОАО «Красная поляна» Станислав Хацкевич. Об этом сообщается на сайте МВД РФ.Задержание, как сообщается в МВД, проведено в рамках уголовного дела, возбужденного по статье 201 УК РФ («злоупотребление полномочиями»).Ранее, 15 июля, были предъявлены обвинения Магомеду Билалову, бывшему акционеру и заместителю председателя совета директоров «Красной Поляны». Он был обвинен по 201-й статье УК РФ (злоупотребление полномочиями в коммерческой организации).По данным следствия, Билалов с сообщниками присвоил деньги, полученные «Красной поляной» от ОАО «Сбербанк России» на строительство олимпийских объектов в Сочи. Вместо того, чтобы потратить средства на создание спортивно-туристического комплекса, Билалов разместил деньги в Национальном банке развития бизнеса под 4-7 процентов годовых, после чего через подконтрольные ему фирмы получал деньги обратно в виде займов под 12,5 процента годовых. Таким образом топ-менеджер присвоил 45,5 миллиона рублей.Проверка в отношении руководства ОАО «Красная поляна», занимающейся строительством олимпийских объектов в Сочи, была организована после того, как президент РФ Владимир Путин раскритиковал работу «Красной поляны» и «Курортов Северного Кавказа» (в последней фирме пост председателя совета директоров занимал брат Магомеда Ахмед Билалов). Ахмед Билалов был уволен из «Курортов Северного Кавказа», и в отношении него были возбуждены несколько уголовных дел. В настоящее время оба брата находятся за границей."
20131102tinkoff,Разработчик игр задержан за шантаж банка «Тинькофф»,"В Москве по подозрению в вымогательстве двух миллионов долларов у банка «Тинькофф» задержан разработчик компьютерных игр. Об этом в субботу, 2 ноября, сообщает телеканал НТВ.Сейчас подозреваемый содержится под стражей. Он частично признал вину. По статье о вымогательстве ему грозит до 15 лет колонии.По данным телеканала, Петр Головин утверждал, что завладел базой данных на всех клиентов банка, и угрожал передать ее третьим лицам. Сотрудники банка согласились заплатить за эту базу 600 тысяч долларов. При получении денег Головина задержали полицейские.Ни подтверждения, ни опровержения информации о получении Головиным доступа к базе данных банка в сообщении не приводится. Подробной информации о личности подозреваемого пока также нет. Известно только, что Головин родился в 1980 году."
20131106fire,В Архангельске при строительстве домов для погорельцев украли 20 миллионов рублей,"В Архангельске возбуждено уголовное дело по факту хищения 20 миллионов рублей, выделенных на строительство четырех домов для погорельцев. Об этом 6 ноября сообщается на сайте Следственного комитета РФ.По информации сайта областной прокуратуры, фигурантами дела о превышении должностных полномочий стали заместитель мэра Архангельска Святослав Чиненов, начальник управления строительства и капитального ремонта департамента городского хозяйства Игорь Шашков и начальник отдела строительства того же управления Михаил Петухов.Кроме того, возбуждено дело о мошенничестве в отношении руководства ООО «Импера Нова». Имена фигурантов этого дела пока не называются.По версии следствия, ООО «Импера Нова», построив на Доковской улице в Архангельске четыре дома для погорельцев, предъявило к оплате документы о некоторых фактически не выполненных работах. Чиненов, Шашков и Петухов на основании этих документов перечислили фирме 20 миллионов.Дома на Доковской улице предназначены для 200 жильцов семи деревянных домов, сгоревших в мае 2012 года. По информации открытых источников, ООО «Импера Нова» должна была сдать дома в эксплуатацию дома до конца 2012 года. Общая сумма контракта составляла 43 миллиона рублей. Однако фирма не справилась с обязательствами и нарушила сроки. Мэрия и дума Архангельска через суд взыскали с подрядчика 25 миллионов, которые ему успели перечислить. Контракт решено передать другому подрядчику."
20140407somali,В сомалийском аэропорту убиты двое сотрудников ООН,"Двое сотрудников Управления ООН по наркотикам и преступности (UNODC) застрелены в понедельник, 7 апреля, в аэропорту сомалийского города Галькайо. По данным Agence France-Presse, в результате нападения погибли граждане Франции и Великобритании.Как сообщили в местной полиции, убийство произошло в тот момент, когда сотрудники Объединенных Наций выходили из самолета. По некоторым данным, стрелявший был одет в полицейскую форму. Один из ооновцев скончался в аэропорту, второй умер в больнице, куда был доставлен после инцидента.Специальный представитель ООН в Сомали Николас Кей (Nicholas Kay) заявил, что убийствам сотрудников всемирной организации нет оправдания, и потребовал провести тщательное расследование преступления.Представители ООН прибыли в Сомали предположительно для встреч с местными властями. Разговор должен был пойти о неофициальной системе денежных переводов, заменяющих в стране банковскую систему."
20160805failed_attack,В Индонезии арестованы планировавшие атаку на Сингапур боевики,"Индонезийская полиция арестовала боевиков, которых подозревают в подготовке террористической атаки на Сингапур. Об этом сообщает Reuters.Операция прошла на острове Батам на севере страны. По данным правоохранительных органов, шесть арестованных боевиков планировали устроить серию терактов в людных местах и атаковать полицейские участки. Операция разрабатывалась и контролировалась исламистами из Сирии, с которыми задержанные связывались через Бахруна Наима, индонезийца, примкнувшего к запрещенной в России террористической организации «Исламское государство» (ИГ).Материалы по теме10:37 14 января 2016Бомбы и пули ДжакартыВ столице Индонезии произошла серия взрывовСингапурские власти уже заявили о том, что усилят охрану границ и выведут на улицы дополнительные силы полиции, чтобы предупредить возможные теракты.По данным правоохранительных органов, именно Бахрун Наим стоял за терактами 14 января в Джакарте. Тогда боевики устроили в столице шесть взрывов, а затем вступили в перестрелку с полиция. В результате нападения погибли восемь человек, включая четырех нападавших, еще четверо террористов были арестованы."
20130206fraud,В США группа мошенников похитила с кредитных карт 200 миллионов долларов,"Правоохранительным органам США удалось раскрыть одну из крупнейших в истории страны афер с кредитными картами, в результате которой мошенникам удалось похитить как минимум 200 миллионов долларов, сообщает Associated Press во вторник, 5 февраля. Обвинения в рамках дела выдвинуты против 18 человек, входивших в преступную группу.По данным правоохранительных органов, мошенники, базировавшиеся в основном в городе Ньюарк, действовали с 2007 года. Преступная группа использовала около семи тысяч поддельных удостоверений личности, получив с их помощью более 25 тысяч кредитных карт.При обращении за кредитными картами мошенники предоставляли не только поддельные удостоверения личности, но и фальшивые счета за оплату ЖКХ и иные документы, якобы подтверждающие их платежеспособность. После получения карт мошенники использовали их для платежей на небольшие суммы, вовремя погашая задолженность, чтобы улучшить свою кредитную историю.Затем в кредитное агентство отправлялся фальшивый отчет, подтверждавший надежность и платежеспособность держателя такой карты. Кредитный рейтинг заемщика рос и банк увеличивал для него лимит кредитования. Однако сразу же после того, как фальшивые заемщики получали доступ к значительным суммам, они тратили или снимали с таких карт все средства.Преступная группа действовала, по данным правоохранительных органов, на территории 28 штатов. Полученные мошенническим путем средства переводились в Пакистан, Индию, ОАЭ, Канаду, Румынию, Китай и Японию.Представители правоохранительных органов США пока не раскрывают личности обвиняемых в причастности к этому мошенничеству. Сообщается лишь, что четверо из 18 обвиняемых были взяты под стражу некоторое время назад и трое из них уже признали свою вину. Оставшиеся 14 обвиняемых — все граждане США — предстали пред судом в Ньюарке 5 февраля, где им предъявили обвинение в мошенничестве в банковской сфере. Обвиняемым грозит максимальное наказание в виде лишения свободы на срок до 30 лет и штрафа в размере миллиона долларов США.В рамках дела в нескольких зданиях в Ньюарке, в том числе в трех ювелирных магазинах, во вторник были проведены обыски. Каким образом эти здания связаны с обвиняемыми в мошенничестве с кредитными картами, пока не разъясняется.Расследование дела продолжается, добавили представители правоохранительных органов, не исключив, что финальная сумма ущерба, причиненного мошенниками, может значительно превысить 200 миллионов долларов."
20131108stepanova,СК не нашел преступлений в действиях фигурантки «списка Магнитского»,"Следственный комитет России не нашел состава преступления в деятельности бывшей руководительницы московской налоговой инспекции номер 28 Ольги Степановой, которую власти США включили в «список Магнитского». Об этом агентство «Интерфакс» сообщает со ссылкой на заявление инвестиционного фонда Hermitage Capital.По данным Hermitage, о результатах проверки, проведенной в отношении сотрудников 25-й и 28-й налоговых инспекций, СК России сообщил Джемисону Файерстоуну — управляющему партнеру компании Firestone Duncan, в которой работал умерший в 2009 году аудитор Сергей Магнитский. «Следственный комитет уведомил, что также прекратил попытки допросить других налоговиков по делу Магнитского», — говорится в заявлении Hermitage.Степанова была включена в список российских должностных лиц, которым запрещен въезд в США в связи с их предполагаемой причастностью к преследованию Магнитского и его гибели. Как полагают составители списка, аудитор, работавший по заданию Hermitage Capital, установил, что чиновница и ее муж, предприниматель Владлен Степанов, получили миллионы евро благодаря незаконному возврату налогов подставным компаниям. Расследование в отношении Степановой начали в 2010 году, затем остановили, но возобновили в 2012-м. В 2013 году выяснилось, что обвиняемой в деле о махинациях с возвратом налогов стала бывшая подчиненная Степановой — Ольга Цымай.Также в «списке Магнитского» фигурирует бывшая сотрудница московской налоговой инспекции номер 25 Елена Химина. Другие фигуранты списка — сотрудники российских органов судебной власти и силовых ведомств. По мнению коллег и сторонников Магнитского, все они участвовали либо в разоблаченным их преступлениях, либо в его преследовании, которое закончилось смертью аудитора в изоляторе «Матросская тишина». Составление «списка Магнитского» и последующее принятие «закона Магнитского» в США послужили причиной для ухудшения российско-американских отношений."
